Year,Continent,TotalCases 
2020,Asia,47258
2020,Asia,47388
2020,Asia,47641
2020,Asia,47901
2020,Asia,48136
2020,Asia,48366
2020,Asia,48540
2020,Asia,48753
2020,Asia,48826
2020,Asia,48952
2020,Asia,49273
2020,Asia,49484
2020,Asia,49703
2020,Asia,49927
2020,Asia,50202
2020,Asia,50456
2020,Asia,50536
2020,Asia,50678
2020,Asia,50888
2020,Asia,51070
2020,Asia,51357
2020,Asia,51595
2020,Asia,51764
2020,Asia,51848
2020,Asia,52007
2020,Asia,52147
2020,Asia,52330
2020,Asia,52330
2021,Asia,52513
2021,Asia,52586
2021,Asia,52709
2021,Asia,52909
2021,Asia,53011
2021,Asia,53105
2021,Asia,53207
2021,Asia,53332
2021,Asia,53400
2021,Asia,53489
2021,Asia,53538
2021,Asia,53584
2021,Asia,53690
2021,Asia,53775
2021,Asia,53831
2021,Asia,53938
2021,Asia,53984
2021,Asia,54062
2021,Asia,54141
2021,Asia,54278
2021,Asia,54403
2021,Asia,54483
2021,Asia,54559
2021,Asia,54595
2021,Asia,54672
2021,Asia,54750
2021,Asia,54854
2021,Asia,54891
2021,Asia,54939
2021,Asia,55008
2021,Asia,55023
2021,Asia,55059
2021,Asia,55121
2021,Asia,55174
2021,Asia,55231
2021,Asia,55265
2021,Asia,55330
2021,Asia,55335
2021,Asia,55359
2021,Asia,55384
2021,Asia,55402
2021,Asia,55420
2021,Asia,55445
2021,Asia,55473
2021,Asia,55492
2021,Asia,55514
2021,Asia,55518
2021,Asia,55540
2021,Asia,55557
2021,Asia,55575
2021,Asia,55580
2021,Asia,55604
2021,Asia,55617
2021,Asia,55646
2021,Asia,55664
2021,Asia,55680
2021,Asia,55696
2021,Asia,55707
2021,Asia,55714
2021,Asia,55733
2021,Asia,55759
2021,Asia,55770
2021,Asia,55775
2021,Asia,55827
2021,Asia,55840
2021,Asia,55847
2021,Asia,55876
2021,Asia,55876
2021,Asia,55894
2021,Asia,55917
2021,Asia,55959
2021,Asia,55959
2021,Asia,55985
2021,Asia,55985
2021,Asia,55995
2021,Asia,56016
2021,Asia,56044
2021,Asia,56069
2021,Asia,56093
2021,Asia,56103
2021,Asia,56153
2021,Asia,56177
2021,Asia,56192
2021,Asia,56226
2021,Asia,56254
2021,Asia,56290
2021,Asia,56294
2021,Asia,56322
2021,Asia,56384
2021,Asia,56454
2021,Asia,56517
2021,Asia,56572
2021,Asia,56595
2021,Asia,56676
2021,Asia,56717
2021,Asia,56779
2021,Asia,56873
2021,Asia,56943
