City,Lost,Found
SEATAC,2,8
AUBURN,7,1
BELLEVUE,6,3
BURIEN,0,1
KENT,20,4
SEATTLE,2,4
RENTON,4,3
COVINGTON,3,0
TUKWILA,3,1
