date,value
08/01/2022,1
14/01/2022,1
19/01/2022,2
31/01/2022,1
03/02/2022,1
07/02/2022,1
10/02/2022,2
13/02/2022,1
17/02/2022,1
18/02/2022,1
20/02/2022,1
03/03/2022,2
05/03/2022,1
07/03/2022,1
10/03/2022,1
11/03/2022,2
12/03/2022,1
17/03/2022,3
19/03/2022,1
20/03/2022,1
21/03/2022,1
22/03/2022,2
23/03/2022,1
24/03/2022,4
26/03/2022,3
27/03/2022,1
29/03/2022,1
